"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1.90740370386411,1.78891626866146,3.73677896110634,1.99091832073708,1.83927964926121,5.35945880088094,2.22538692638875,3.40961028895331
"2",1.81470151564018,1.59139342441038,3.31566099853216,2.3194404007269,2.3035214102248,5.24361423460254,1.89601440238766,2.7888072626481
"3",2.75153792276145,2.59818207877076,3.14584520602319,3.77054291358455,3.25513874518191,4.70338282584566,2.05939860323196,2.33028132352626
"4",2.41128306994712,1.61483696320045,2.33746264195113,1.98844852702015,2.26198240692475,2.0078417721608,1.84791504344326,2.39269178009068
"5",3.53416831465427,1.88847948501418,3.28066977091473,2.73029592292992,3.28191633413039,3.59535595435405,1.90944189922242,3.23138713950407
"6",3.86899970704562,2.09192773059232,3.79980215156781,3.43403525886089,4.18306821499577,3.72343042270142,2.22911356062676,3.45305874152732
"7",2.25300526875907,3.22951832265126,2.84795160278159,2.56008253959243,2.93366648265664,3.14446888532197,2.61075927763637,2.44951684748258
"8",4.669602732149,1.82465330659679,4.20828415296134,2.33804941871167,2.82916608890363,5.92435606439378,1.82793881232165,4.21823165024615
"9",3.06055722787888,4.51197060804447,4.25461807972341,3.62268585635961,3.33303533223504,5.0871766957374,3.0071476352769,3.58634149245299
"10",3.53737172207179,2.97719118302448,2.72437651472426,2.51601675953892,2.93839172687792,4.08113036381714,2.16188386217225,3.99561695865753
"11",3.69795661175021,3.09606855942682,2.81710567076684,4.27667996729416,3.05868168121198,4.43733512863109,3.52263539062663,4.07804619522472
"12",2.73771765319921,2.38052701965572,4.01460916921761,2.17418960563609,3.06289944994393,3.85894565580105,1.48823819368314,2.7197103889817
"13",3.89541414105353,2.07141717783382,2.9269911964468,2.94680048378645,3.29252783940597,5.09914561894896,2.81713665909965,2.38525729732618
"14",3.69374629822803,1.97612330757966,3.5379409309735,2.97364656693793,3.65914860950815,4.78003084781345,2.62625007044371,2.90709703269581
"15",4.79741389092639,2.06679893057411,4.99352962801619,2.45513315975106,3.43382568608422,6.92788796641566,1.57104028209779,4.69265255810187
"16",2.53518217914151,1.30736282827475,3.2112330785491,2.4519646471375,3.0237506563289,5.02566608806837,1.88484577391309,2.40633273057358
"17",3.08136475155692,3.54881235632594,3.5913385925208,3.29145560479165,3.59863281601232,3.37517170977272,2.81247252895452,3.70495828657329
"18",2.9574162540415,1.64190474865119,2.66622389539817,2.18287758610185,2.88573548034822,3.78167865621896,1.54778983430862,3.06283206689724
"19",2.88804730285107,1.04106163981706,2.61175445372841,2.48233835246648,2.90529867752045,3.74274013656498,1.56596461260739,3.06299133830574
"20",2.78083571657726,2.96401568720761,2.83351502714572,2.42595921801676,2.57814874324605,3.04581951622262,2.43497161650379,2.67888402709342
"21",4.2116605506065,1.74910110205424,4.11568382937201,3.00417251295205,2.73037646784768,4.41221133372303,2.69870762227471,4.98888281535944
"22",2.85636546435382,3.83492546819255,3.98293107796968,3.8960218730614,3.60647593404432,6.04734298775968,1.94929155220052,2.68797735998284
"23",2.50308507228425,3.40738249579057,4.28966653864835,2.78675824241723,4.5042662355368,6.56801069172667,1.95291279679687,2.72564200900273
"24",3.75414476392232,2.51684969893019,4.59644417896439,4.65228734125212,2.3175324024504,6.66674676790867,2.47053567599788,4.35777235918089
