-5,15,15,1/10,-5.90,0-4
-5,15,14,0/10,-5.11,0-4
-5,15,12,0/10,-4.79,0-4
-5,15,10,0/10,-4.31,0-4
-5,10,10,1/10,-4.35,0-4
-5,10,9,0/10,-5.26,0-4
-5,8,10,1/10,-5.35,0-4
-5,8,9,0/10,-4.22,0-4
-5,8,8,0/10,-3.08,0-4
-5,8,8,1/10,-4.74,0-2
-5,8,7,3/10,-6.74,0-2
-5,8,5,0/10,-3.08,0-2
-5,10,9,3/10,-4.51,0-2
-5,10,7,1/10,-7.67,0-2
-5,10,6,2/10,-5.16,0-2
-5,10,5,1/10,-4.57,0-2
-5,10,4,0/10,-5.02,0-2
-5,15,14,2/10,-3.07,0-2
-5,15,13,5/10,1.68,0-2
-5,15,10,5/10,-8.20,0-2
-5,15,8,3/10,-4.01,0-2
-5,15,6,0/10,-6.03,0-2
-5,15,7,1/10,-8.06,0-2
0,15,14,10/10,-3.23,0-2
0,15,14,10/10,0.43,0-4
-1,15,14,10/10,-1.53,0-4
-1,15,10,10/10,-0.73,0-4
-1,15,5,3/10,0.19,0-4
-1,15,3,1/10,0.18,0-4
-1,15,2,0/10,-1.07,0-4
-1,15,2,3/10,-1.67,0-2
-1,15,1,1/10,-1.12,0-2
