trials to reverse,60,91,101,81,21,21,21,Yes,No,No,
trials to reverse,60,91,115,81,21,21,21,Yes,No,No,
trials to reverse,60,91,120,81,21,21,21,No,Yes,No,
trials to reverse,60,91,120,79,21,21,21,No,No,No,
trials to reverse,60,91,120,79,22,22,22,No,No,No,
trials to reverse,60,91,120,79,23,23,23,No,No,No,
trials to reverse,60,91,120,79,24,24,24,No,Yes,No,
trials to reverse,45,91,120,79,21,21,21,No,Yes,No,
trials to reverse,45,91,120,77,21,21,21,No,No,No,
trials to reverse,45,91,120,77,24,22,23,No,Yes,No,
trials to reverse,45,91,120,77,23,22,23,No,Yes,No,
trials to reverse,45,91,120,77,22,22,23,Yes,No,No,
trials to reverse,45,91,120,77,21,22,23,No,Yes,No,
trials to reverse,45,91,120,77,21,21,23,No,Yes,No,
trials to reverse,45,91,120,77,22,22,22,No,Yes,No,
trials to reverse,45,91,120,77,22,22,21,No,Yes,No,
trials to reverse,45,91,120,77,21,22,21,Yes,No,No,
trials to reverse,18,91,101,81,21,21,21,Yes,Yes,Yes,
trials to reverse,15,91,101,81,21,21,21,Yes,Yes,Yes,
trials to reverse,15,111,81,71,21,21,21,Yes,No,Yes,Needs a 40 trial solving difference between sites to detect differences 
trials to reverse,15,111,81,71,30,20,15,Yes,Yes,No,Can detect difference with only 10 trial differences if SD is 20 or 15 in the comparison
loci solved,60,1.9,2.1,3.6,0.5,0.5,0.5,No,No,No,
loci solved,60,1.9,2.1,2.2,0.5,0.5,0.5,Yes,Yes,Yes,
loci solved,60,1.9,2.1,2.3,0.5,0.5,0.5,Yes,Yes,Yes,
loci solved,60,1.9,2.1,3.5,0.5,0.5,0.5,No,No,No,
loci solved,60,1.9,2.1,3.0,0.5,0.5,0.5,Yes,No,No,
loci solved,60,1.9,2.1,2.8,0.5,0.5,0.5,Yes,No,Yes,
loci solved,60,1.8,2.1,3.0,0.5,0.5,0.5,Yes,Yes,No,
loci solved,60,2,2.5,3,0.5,0.5,0.5,No,Yes,No,
loci solved,60,2,2.5,3.1,0.5,0.5,0.5,No,No,Yes,
loci solved,60,1.9,2.5,3.2,0.5,0.5,0.5,Yes,No,No,
loci solved,60,1.8,2.5,3.3,0.5,0.5,0.5,No,No,Yes,
loci solved,60,1.7,2.5,3.4,0.5,0.5,0.5,No,No,No,
loci solved,60,1.7,2.5,3.4,1,1,1,No,No,No,
loci solved,60,1.7,2.5,3.4,1.5,1.5,1.5,Yes,No,No,
loci solved,60,1.7,2.5,3.4,1.3,1.3,1.3,Yes,Yes,Yes,
loci solved,60,1,2,3,0.5,0.5,0.5,No,No,Yes,
loci solved,60,1,2,3,0.5,0.5,0.5,No,No,No,
loci solved,60,1,2,3,0.3,0.4,0.5,No,No,No,
loci solved,60,1,2,3,0.6,0.7,0.5,No,No,No,
loci solved,60,1,2,3,0.7,0.7,0.7,No,No,No,
loci solved,60,1,2,3,0.9,0.9,0.9,No,No,No,
loci solved,60,1,2,3,1,1,1,No,No,No,
loci solved,60,1,2,3,1.5,1.5,1.5,Yes,No,No,
